device_id,brand,model_year,os,usage_type,daily_usage_hours,charging_cycles,avg_charge_limit_percent,battery_health_percent,battery_age_months,overheating_issues,performance_rating
LB001,HP,2021,Windows,Office,6,420,90,86,36,No,4
LB002,Dell,,Windows,,8,610,100,78,48,Yes,3
LB003,Apple,2022,macOS,Creative,7,310,85,92,24,No,5
LB004,Lenovo,2019,Windows,Student,5,700,100,None,60,Yes,3
LB005,Asus,2021,Windows,Gaming,9,820,100,65,40,Yes,2
None,Acer,2020,,Office,6,540,95,80,50,No,4
LB004,Lenovo,2019,Windows,Student,5,700,100,None,60,Yes,3
LB005,Asus,2021,Windows,Gaming,9,820,100,65,40,Yes,2
None,Acer,2020,,Office,6,540,95,80,50,No,4
LB007,Apple,2023,macOS,Programming,8,210,80,95,18,No,5
LB008,HP,2018,Windows,Student,4,,100,60,72,None,2
LB009,Dell,2022,Windows,Office,6,350,90,88,30,No,4
LB010,Lenovo,2021,Windows,None,7,480,85,83,36,No,4
LB011,Asus,2020,Windows,Gaming,10,900,100,58,54,Yes,2
None,,,,None,5,620,95,75,60,No,3
LB013,,,,Creative,6,400,80,90,42,No,5
LB014,,,,Student,5,300,90,91,24,No,5
LB015,,,,Office,6,850,100,62,72,Yes,2
LB016,Lenovo,2023,Windows,None,8,,,,18,No,5
LB017,Asus,2021,Windows,Office,6,,,,36,No,4
LB018,Acer,2020,Windows,Student,4,,,,48,No,3
LB019,Apple,2019,macOS,None,7,,,,60,No,4
LB020,HP,2022,Windows,None,6,310,90,89,24,No,4
LB021,Dell,2021,Windows,Programming,8,None,100,81,36,No,4
LB022,Lenovo,2020,Windows,None,5,600,95,76,48,No,3
LB023,Asus,2022,Windows,Gaming,9,520,100,74,30,Yes,3
None,Acer,2018,Windows,None,6,None,100,59,72,Yes,2
LB025,Apple,2023,macOS,Programming,7,180,80,97,12,No,5
LB026,HP,2020,Windows,None,6,570,95,77,48,No,3
LB027,Dell,2019,Windows,Student,5,730,100,68,60,None,2
LB028,None,2021,Windows,Programming,8,460,90,84,36,No,4
LB029,Asus,2018,Windows,Gaming,10,950,100,55,72,Yes,1
LB030,Acer,2022,Windows,Office,6,None,90,90,24,None,4
None,Acer,2018,Windows,None,6,None,100,59,72,Yes,2
LB025,Apple,2023,macOS,Programming,7,180,80,97,12,No,5
LB026,HP,2020,Windows,None,6,570,95,77,48,No,3
LB027,Dell,2019,Windows,Student,5,730,100,68,60,None,2
LB028,None,2021,Windows,Programming,8,460,90,84,36,No,4
LB029,Asus,2018,Windows,Gaming,10,950,100,55,72,Yes,1
LB030,Acer,2022,Windows,Office,6,None,90,90,24,None,4
LB031,Apple,2020,macOS,Creative,7,500,85,87,48,No,4
LB032,HP,2021,Windows,None,5,430,90,86,36,No,4
LB033,Dell,2023,Windows,None,6,None,85,96,18,No,5
LB034,Lenovo,2019,Windows,Programming,7,680,100,72,60,Yes,3
LB035,Asus,2020,Windows,None,9,780,100,66,48,Yes,2
LB036,Acer,2021,Windows,Office,6,410,95,85,36,No,4
LB037,Apple,2022,None,Programming,8,260,80,93,24,No,5
LB038,HP,2018,Windows,Student,4,870,100,61,72,Yes,2
LB039,Dell,2021,Windows,Office,6,450,90,84,36,No,4
LB040,Lenovo,2022,Windows,Programming,8,None,85,91,24,No,5
LB041,Asus,2019,Windows,Office,6,640,95,74,60,No,3
LB042,Acer,2023,Windows,None,5,190,90,97,12,No,5
LB043,Apple,2018,macOS,Creative,7,760,85,78,72,No,3
LB044,HP,2020,Windows,Office,6,560,95,79,48,No,3
LB045,Dell,2022,Windows,Programming,8,340,90,90,24,No,5
LB046,Lenovo,2018,Windows,Student,5,820,100,63,72,Yes,2
LB047,Asus,2021,Windows,Office,6,470,90,84,36,No,4
LB048,Acer,2020,Windows,Gaming,9,710,100,69,48,Yes,2
LB049,Apple,2021,macOS,Programming,7,380,80,92,36,No,5
LB050,HP,2023,None,Office,6,200,85,98,12,No,5
